SourceFile,Company Code,Legal Name,Trade Name,GSTIN,PAN,CIN,Registered Address,Billing Address,Contact Email,Contact Phone,Default Currency,Books Export Flag,Active From,Active To,Notes,Customer Code,Customer Name,Company,GST Type,GST Treatment,Shipping Addresses,Credit Terms,Custom Credit Days,Freight Terms,Freight Split Notes,Allowed Price Lists,Default Warehouses,Overdue Notification Recipients,Contact Person,Documents,Active Flag,Godown Code,Warehouse,Godown Name,Storage Condition,Capacity UOM,Capacity Value,Batch Tracking Enabled,Default QC Hold Area,Machine ID,Godown,Machine Name,Category,Commission Date,Maintenance Vendor,Next Service Due,Status,Price List ID,Customer,Delivery Region,Currency,Effective From,Effective To,Default Freight Terms,Price Lines,SKU Code,Product Name,Product Type,Goods Sub-Type,Service Sub-Type,Custom Service Category,Description,Batch Tracking Required,Shelf Life (Days),QC Responsibility,QC Template,UOM,Secondary UOMs,Specific Gravity,Conversion Notes,Packing Material Default,Yield Tracking Required,Yield Parameters,Wage Method,Freight Class,Created By,Created Date,Last Modified By,Role Code,Role Name,Module Permissions,Data Scope,Approval Levels,Default Share Rules,Service Code,Name,Direction,Default TDS %,Default TCS %,Warehouse Availability,Staff ID,Staff Type,First Name,Last Name,Gender,Date of Birth,Primary Location,Department,Designation,Employment Start Date,Employment End Date,Employment Status,HR Owner,Shift Assignment,Overtime Eligible,Contractor Flag,Contractor Vendor,Bank Account,ID Proofs,Face Template ID,Photo Reference,Contact Number,Emergency Contact,Address,Remarks,Portal User ID,Employee Record,Primary Email,Mobile,Default Warehouse,Warehouse Scope,Last Accessed,Tax Type,Section Reference,Rate %,Applicable On,Threshold Amount,Company Scope,Template ID,Template Type,Revision No.,Layout JSON/XML,Requires Digital Signature,Approval Log,Transporter Code,Freight Modes,Coverage Routes,TDS Rate %,Payment Terms,Rating,Vendor Code,Vendor Name,Vendor Type,City,State,Country,Pincode,Custom Payment Days,Credit Limit,Credit Days,TCS Rate %,Bank Details,Preferred Transporters,Allowed Warehouses,Attachments,Warehouse Code,Warehouse Type,Geo Latitude,Geo Longitude,Time Zone,Warehouse Coordinator(Office),Warehouse HR Coordinator,Warehouse Manager(s),Warehouse Coordinator(s),Warehouse Supervisor(s)
All Company.csv,784512,poiuytr,,,ABCPK1234Z,,"salem, salem, salem, Andhra Pradesh, 534101, India","salem, SALEM salem, salem, TAMIL NADU, 636011, India",kl@gmail.com,+911256398547,INR,false,04-Nov-2025,10-Nov-2025,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Company.csv,894554,LEGAL ,WERTYHUJIK,,,,"OMALUR, SALEM, SALEM, Tamilnadu, 636011, India","OMALUR, OMALUR, SALEM, STATE, 636011, India",ERT@GMAIL.COM,+918896557456,INR,false,11-Nov-2025,13-Nov-2025,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Company.csv,456,MOHAN KUMAR,RAJ,22AAAAA0000A1M6,AAAAA,,"CHERRY ROAD, SALEM, RAM NAGAR, tamilnadu, 636007, India","3, Sample Road, SALEM, CHENNAI , JAMMU, 534101, India",tpg@fff.co,+918856999856,USD,false,28-Nov-2025,30-Nov-2025,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Company.csv,741,TATA,TATA,22AAPPA0000C1Z5,ABCPK12,L01631KA2010PTC097458,"P.B.NO-15, TANUKU ROAD , TADEPALLIGUDEM, SALEM, Andhra Pradesh, 534101, India","P.B.NO-15, TANUKU ROAD , TADEPALLIGUDEM, SALEM, Andhra Pradesh, 534101, India",mohan@gmail.com,+918653365236,INR,true,12-Nov-2025,12-Nov-2025,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Company.csv,6546,RUSSIA,salem,22AAAAA0000A1Z5,ABCPK1234H,L01631KA2010PTC096843,"SALEM, SALEM, SALEM, Andhra Pradesh, 534101, India","SALEM, SALEM, SALEM, Andhra Pradesh, 534101, India",mohan@gmail.com,+918865235478,INR,true,10-Nov-2025,11-Nov-2025,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Company.csv,1011111,LAN,KRIYA biosys,1,,,"123, qwe, wqe, 123456, Albania","123, sadfds, dfkjnsjb, 1243, Anguilla",,,INR,false,11-Nov-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Company.csv,777,Microsoft,KRIYA,52365232145,4125632563,41256325631,"P.B.NO-15, TANUKU ROAD , TADEPALLIGUDEM, SS TOWER,ANNAPURAM, JUNCTION MAIN ROAD, SALEM, Andhra Pradesh, 534101, India","P.B.NO-15, TANUKU ROAD , TADEPALLIGUDEM, SS TOWER,ANNAPURAM, JUNCTION MAIN ROAD, SALEM, Andhra Pradesh, 534101, India",mohan@gmail.com,+918563221452,INR,true,08-Nov-2025,10-Nov-2025,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Company.csv,65,MICRO,KRIYA,56325632563,2366632554,12546325963,"P.B.NO-15, TANUKU ROAD , TADEPALLIGUDEM, SS TOWER,ANNAPURAM, JUNCTION MAIN ROAD, SALEM, Andhra Pradesh, 534101, India","P.B.NO-15, TANUKU ROAD , TADEPALLIGUDEM, SS TOWER,ANNAPURAM, JUNCTION MAIN ROAD, SALEM, Andhra Pradesh, 534101, India",mohanjco7@gmail.com,+918563256325,INR,true,09-Nov-2025,12-Nov-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Company.csv,201,TCS,KRIYA,654187498746,2874168498,149879797187,"P.B.NO-15, TANUKU ROAD , TADEPALLIGUDEM, SS TOWER,ANNAPURAM, JUNCTION MAIN ROAD, SALEM, Andhra Pradesh, 534101, India","P.B.NO-15, TANUKU ROAD , TADEPALLIGUDEM,  Panchavati,,, SALEM, Andhra Pradesh, 534101, India",mohanrajcom7@gmail.com,+918863521456,INR,true,06-Nov-2025,10-Nov-2025,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Company.csv,10112,FLIPKART,LANCER,541846848416786,2848645988,561487486146,"P.B.NO-15, TANUKU ROAD , TADEPALLIGUDEM, SS TOWER,ANNAPURAM, JUNCTION MAIN ROAD, SALEM, Andhra Pradesh, 534101, India","P.B.NO-15, TANUKU ROAD , TADEPALLIGUDEM, SS TOWER,ANNAPURAM, JUNCTION MAIN ROAD, SALEM, Andhra Pradesh, 534101, India",mohanrajcom7@gmail.com,+9156985666,INR,true,11-Nov-2025,21-Nov-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
