SourceFile,Company Code,Legal Name,Trade Name,GSTIN,PAN,CIN,Registered Address,Billing Address,Contact Email,Contact Phone,Default Currency,Books Export Flag,Active From,Active To,Notes,Customer Code,Customer Name,Company,GST Type,GST Treatment,Shipping Addresses,Credit Terms,Custom Credit Days,Freight Terms,Freight Split Notes,Allowed Price Lists,Default Warehouses,Overdue Notification Recipients,Contact Person,Documents,Active Flag,Godown Code,Warehouse,Godown Name,Storage Condition,Capacity UOM,Capacity Value,Batch Tracking Enabled,Default QC Hold Area,Machine ID,Godown,Machine Name,Category,Commission Date,Maintenance Vendor,Next Service Due,Status,Price List ID,Customer,Delivery Region,Currency,Effective From,Effective To,Default Freight Terms,Price Lines,SKU Code,Product Name,Product Type,Goods Sub-Type,Service Sub-Type,Custom Service Category,Description,Batch Tracking Required,Shelf Life (Days),QC Responsibility,QC Template,UOM,Secondary UOMs,Specific Gravity,Conversion Notes,Packing Material Default,Yield Tracking Required,Yield Parameters,Wage Method,Freight Class,Created By,Created Date,Last Modified By,Role Code,Role Name,Module Permissions,Data Scope,Approval Levels,Default Share Rules,Service Code,Name,Direction,Default TDS %,Default TCS %,Warehouse Availability,Staff ID,Staff Type,First Name,Last Name,Gender,Date of Birth,Primary Location,Department,Designation,Employment Start Date,Employment End Date,Employment Status,HR Owner,Shift Assignment,Overtime Eligible,Contractor Flag,Contractor Vendor,Bank Account,ID Proofs,Face Template ID,Photo Reference,Contact Number,Emergency Contact,Address,Remarks,Portal User ID,Employee Record,Primary Email,Mobile,Default Warehouse,Warehouse Scope,Last Accessed,Tax Type,Section Reference,Rate %,Applicable On,Threshold Amount,Company Scope,Template ID,Template Type,Revision No.,Layout JSON/XML,Requires Digital Signature,Approval Log,Transporter Code,Freight Modes,Coverage Routes,TDS Rate %,Payment Terms,Rating,Vendor Code,Vendor Name,Vendor Type,City,State,Country,Pincode,Custom Payment Days,Credit Limit,Credit Days,TCS Rate %,Bank Details,Preferred Transporters,Allowed Warehouses,Attachments,Warehouse Code,Warehouse Type,Geo Latitude,Geo Longitude,Time Zone,Warehouse Coordinator(Office),Warehouse HR Coordinator,Warehouse Manager(s),Warehouse Coordinator(s),Warehouse Supervisor(s)
All Role Definitions.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,Warehouse Supervisors(s),Testing 5,Warehouse,Others Request 12000.00 30000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Role Definitions.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,Warehouse Coordinator(s),Testing 4,Warehouse,Production Evaluation 12000.00 30000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Role Definitions.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,Warehouse Manager(s),Testing 3,Warehouse,Sales Payment 12000.00 30000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Role Definitions.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,Warehouse Coordinator(Office),Testing 2,Warehouse,Production Request 12000.00 30000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Role Definitions.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,Warehouse HR Coordinator,Testing for role,Warehouse,Sales Evaluation 12000.00 30000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Role Definitions.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,asdfghjk,qwertyu,Company,Others Evaluation 12000.00 30000.00,vgftyuj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Role Definitions.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12345,asdfghjk,asdfghj,Global,Production Request 12000.00 30000.00,asdfghjk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Role Definitions.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,741, IT MANAGER,MANAGER,Company,Purchase Request 10000000.00 10000000.00,KL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Role Definitions.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,ENGINEER MANAGER,YES,Warehouse,Others Payment 100000.00 200000.00,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Role Definitions.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,DEVELOPER,CRUD,Company,Production Evaluation 12000.00 30000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
